make,model,version,locale
APPIA,110,110 CITIPLUS,es_AR
APPIA,110,110 CITIPLUS C/DISCO,es_AR
APPIA,110,110 VECTRA,es_AR
APPIA,110,110 VECTRA ANDINA,es_AR
APPIA,125,125 BERAKA,es_AR
APPIA,125,125 GEREMY,es_AR
APPIA,125,125 REGIA,es_AR
APPIA,150,150 BREZZA,es_AR
APPIA,150,150 LEYENDA,es_AR
APPIA,150,150 MONTERO,es_AR
APPIA,150,150 STRONGER,es_AR
APPIA,150,150 VECTRA BLESS,es_AR
APPIA,200,200 HARDWIND,es_AR
APRILIA,RSV4,1000 RSV4 RF,es_AR
APRILIA,RSV4,1000 RSV4 RR,es_AR
APRILIA,1100,1100 RSV4 RF,es_AR
APRILIA,1100,1100 TUONO RF,es_AR
APRILIA,1100,1100 TUONO RR,es_AR
APRILIA,1200,1200 CAPONORD RALLY,es_AR
APRILIA,150,150 STX,es_AR
APRILIA,200,200 SCARABEO,es_AR
APRILIA,250,250 ATLANTIC,es_AR
APRILIA,250,250 SCARABEO,es_AR
APRILIA,300,300 SPORT CITY,es_AR
APRILIA,4.5,4.5 ENDURO,es_AR
APRILIA,5.5,5.5 MOTARD,es_AR
APRILIA,500,500 ATLANTIC,es_AR
APRILIA,500,500 SCARABEO,es_AR
APRILIA,650,650 PEGASO TRIAL,es_AR
APRILIA,750,750 DORSODURO,es_AR
APRILIA,750,750 SHIVER,es_AR
APRILIA,900,900 DORSODURO,es_AR
APRILIA,900,900 SHIVER,es_AR
BABOON,SPORT,SPORT 110,es_AR
BABOON,SPORT,SPORT 200,es_AR
BABOON,SPORT,SPORT 250,es_AR
BABOON,SPORT,SPORT 250 LIMIT,es_AR
BAJAJ,AVENGER,AVENGER 200,es_AR
BAJAJ,AVENGER,AVENGER 220 CRUISE,es_AR
BAJAJ,AVENGER,AVENGER 220 STREET,es_AR
BAJAJ,BOXER,BOXER AT 150,es_AR
BAJAJ,BOXER,BOXER RT 150,es_AR
BAJAJ,DISCOVER,DISCOVER 125,es_AR
BAJAJ,DISCOVER,DISCOVER 125 ST,es_AR
BAJAJ,DOMINAR,DOMINAR 250,es_AR
BAJAJ,DOMINAR,DOMINAR 400,es_AR
BAJAJ,DOMINAR,DOMINAR 400 NEW 2019,es_AR
BAJAJ,PULSAR,PULSAR 150,es_AR
BAJAJ,PULSAR,PULSAR 200,es_AR
BAJAJ,ROUSER,ROUSER 135 LS,es_AR
BAJAJ,ROUSER,ROUSER 150,es_AR
BAJAJ,ROUSER,ROUSER 160 NS,es_AR
BAJAJ,ROUSER,ROUSER 180,es_AR
BAJAJ,ROUSER,ROUSER 200 AS,es_AR
BAJAJ,ROUSER,ROUSER 200 NS,es_AR
BAJAJ,ROUSER,ROUSER 200 NS FI,es_AR
BAJAJ,ROUSER,ROUSER 200 RS,es_AR
BAJAJ,ROUSER,ROUSER 220 F,es_AR
BAJAJ,ROUSER,ROUSER 125 NS,es_AR
BAJAJ,V 15,V 15 150 VIKRANT,es_AR
BAJAJ,XCD125,XCD 125,es_AR
BENELLI,CAFFENERO,CAFFENERO 150,es_AR
BENELLI,IMPERIALE,IMPERIALE 400,es_AR
BENELLI,KEEWAY,KEEWAY KLIGHT 202,es_AR
BENELLI,LEONCINO,LEONCINO 250,es_AR
BENELLI,LEONCINO,LEONCINO 500,es_AR
BENELLI,RK,RK 150,es_AR
BENELLI,RK6,RK6 600,es_AR
BENELLI,S 180,S 180,es_AR
