make,model,version,locale
ACURA,INTEGRA,INTEGRA LS SM,es_AR
ACURA,INTEGRA,INTEGRA RS SM,es_AR
ACURA,INTEGRA,INTEGRA RS SM COUPE,es_AR
ACURA,INTEGRA,INTEGRA SE,es_AR
ACURA,LEGEND,LEGEND GS,es_AR
ACURA,LEGEND,LEGEND L COUPE,es_AR
ACURA,LEGEND,LEGEND LS COUPE,es_AR
ACURA,NSX,NSX,es_AR
AEOLUS,EQ,EQ 1061 G8 D2 (DONG FENG),es_AR
AEOLUS,EQ,EQ 1061 T (DONG FENG),es_AR
AEOLUS,EQ,EQ 1061 T5D (DONG FENG),es_AR
AGRALE,8500,8500,es_AR
AGRALE,10000,10000 S,es_AR
AGRALE,13000,13000 TCA,es_AR
AGRALE,14000,14000 S 4x2,es_AR
AGRALE,14000,14000 S 6x2,es_AR
AGRALE,6000,6000 FURGOVAN,es_AR
AGRALE,6000,6000 RD,es_AR
AGRALE,6000,6000 RD DOBLE CABINA,es_AR
AGRALE,6000,6000 RD E-MEC,es_AR
AGRALE,7500,7500 RD E-MEC,es_AR
AGRALE,7500,7500 RD E-MEC CD,es_AR
AGRALE,8500,8500 CD,es_AR
AGRALE,8500,8500 S,es_AR
AGRALE,8500,8500 TCA,es_AR
AGRALE,8500,8500 TCE E-TRONIC,es_AR
AGRALE,8700,8700 S,es_AR
AGRALE,9200,9200 TCA,es_AR
AGRALE,9200,9200 TCE E-TRONIC,es_AR
AGRALE,A 10000,A 10000,es_AR
AGRALE,A7500,A 7500,es_AR
AGRALE,A 8700,A 8700,es_AR
AGRALE,A 8700,A 8700 4X4,es_AR
AGRALE,DYNAMIC,DYNAMIC CHASIS CORTO,es_AR
AGRALE,DYNAMIC,DYNAMIC CHASIS LARGO,es_AR
AGRALE,DYNAMIC,DYNAMIC D/CAB,es_AR
AGRALE,MARRUA,MARRUA AM100,es_AR
AGRALE,MARRUA,MARRUA AM100 DC,es_AR
AGRALE,MARRUA,MARRUA AM150 DC,es_AR
AGRALE,MARRUA,MARRUA AM200 DC,es_AR
AGRALE,STALLION,STALLION 12-130 CHASIS CORTO,es_AR
AGRALE,STALLION,STALLION 12-130 CHASIS LARGO,es_AR
AGRALE,STALLION,STALLION 15-160 CHASIS CORTO,es_AR
AGRALE,STALLION,STALLION 15-160 CHASIS LARGO,es_AR
AGRALE,STARK,STARK CHASIS CORTO,es_AR
AGRALE,STARK,STARK CHASIS CORTO TURBO,es_AR
AGRALE,STARK,STARK CHASIS CORTO TURBO TRES EJES,es_AR
AGRALE,STARK,STARK CHASIS LARGO,es_AR
AGRALE,STARK,STARK CHASIS LARGO TURBO,es_AR
ALEKO,2141,2141,es_AR
ALEKO,2141,2141 FULL,es_AR
ALEKO,2141,2141 D,es_AR
ALEKO,2141,2141 D FULL,es_AR
ALEKO,2335,2335 D PICK UP,es_AR
ALFA ROMEO,145,145 1.4,es_AR
ALFA ROMEO,145,145 1.6,es_AR
ALFA ROMEO,145,145 1.7,es_AR
ALFA ROMEO,145,145 1.8 TS,es_AR
ALFA ROMEO,145,145 1.8 TS FULL,es_AR
ALFA ROMEO,145,145 1.9 JTD,es_AR
ALFA ROMEO,145,145 2.0 QUADRIFOGLIO,es_AR
ALFA ROMEO,145,145 2.0 QUADRIFOGLIO FULL,es_AR
ALFA ROMEO,145,145 2.0 TD,es_AR
ALFA ROMEO,145,145 2.0 TD FULL,es_AR
ALFA ROMEO,146,146 1.6 TS,es_AR
ALFA ROMEO,146,146 1.8 TS,es_AR
ALFA ROMEO,146,146 1.8 TS FULL,es_AR
ALFA ROMEO,146,146 1.9 JTD,es_AR
ALFA ROMEO,146,146 1.9 JTD TC,es_AR
ALFA ROMEO,146,146 2.0 TD,es_AR
ALFA ROMEO,146,146 2.0 TD FULL,es_AR
ALFA ROMEO,146,146 2.0 TI,es_AR
ALFA ROMEO,146,146 2.0 TI FULL,es_AR
ALFA ROMEO,147,147 1.6 TS 3 PTAS PROGRESSION,es_AR
ALFA ROMEO,147,147 1.6 TS 5 PTAS DISTINCTIVE,es_AR
ALFA ROMEO,147,147 1.6 TS 5 PTAS PROGRESSION,es_AR
ALFA ROMEO,147,147 1.9 JTD 5 PTAS,es_AR
ALFA ROMEO,147,147 1.9 JTD 5 PTAS TC CU,es_AR
ALFA ROMEO,147,147 1.9 JTDM 5 PTAS DISTINCTIVE,es_AR
ALFA ROMEO,147,147 2.0 TS 3 PTAS DISTINCTIVE,es_AR
ALFA ROMEO,147,147 2.0 TS 5 PTAS,es_AR
ALFA ROMEO,147,147 2.0 TS 5 PTAS TC CU,es_AR
ALFA ROMEO,147,147 2.0 TS 5 PTAS DISTINCTIVE,es_AR
ALFA ROMEO,147,147 2.0 TS 5 PTAS DISTINCTIVE SS,es_AR
ALFA ROMEO,147,147 2.0 TS 5 PTAS SELESPEED,es_AR
ALFA ROMEO,155,155 1.7 TS,es_AR
ALFA ROMEO,155,155 1.8 TS,es_AR
ALFA ROMEO,155,155 2.0 QUADRIFOGLIO,es_AR
ALFA ROMEO,155,155 2.0 SUPER,es_AR
ALFA ROMEO,155,155 2.0 SUPER FULL,es_AR
ALFA ROMEO,155,155 2.0 TD,es_AR
ALFA ROMEO,155,155 2.0 TS,es_AR
ALFA ROMEO,155,155 2.5 V6,es_AR
ALFA ROMEO,156,156 2.0 TS,es_AR
ALFA ROMEO,156,156 2.0 TS SPORTWAGON,es_AR
ALFA ROMEO,156,156 2.0 TS TC CU,es_AR
ALFA ROMEO,156,156 2.0 TS TC CU KIT SPORT,es_AR
ALFA ROMEO,156,156 2.0 TS FASE III CU.,es_AR
ALFA ROMEO,156,156 2.0 TS FASE III CU. SELESPEED,es_AR
ALFA ROMEO,156,156 2.4 JTD,es_AR
ALFA ROMEO,156,156 2.4 JTD SPORTWAGON,es_AR
ALFA ROMEO,156,156 2.4 JTD TC,es_AR
ALFA ROMEO,156,156 2.5 V6,es_AR
ALFA ROMEO,156,156 2.5 V6 AUT SPORTRONIC,es_AR
ALFA ROMEO,156,156 2.5 V6 KIT SPORT,es_AR
ALFA ROMEO,156,156 2.5 V6 SPORTWAGON,es_AR
ALFA ROMEO,156,156 2.5 V6 FASE III,es_AR
ALFA ROMEO,159,159 1.8 TBI DISTINCTIVE 200 CV,es_AR
ALFA ROMEO,159,159 1.8 TS PROGRESSION,es_AR
ALFA ROMEO,159,159 1.9 JTD PROGRESSION,es_AR
ALFA ROMEO,159,159 2.2 JTS PROGRESSION,es_AR
ALFA ROMEO,159,159 2.2 JTS PROGRESSION PACK STILE,es_AR
ALFA ROMEO,159,159 2.2 JTS SELEESPEED DISTINCTIVE,es_AR
ALFA ROMEO,159,159 3.2 JTS HIGHT 4X4 ELEGANTE AUT,es_AR
ALFA ROMEO,164,164 2.0 TS,es_AR
ALFA ROMEO,164,164 2.0 V6 TURBO,es_AR
ALFA ROMEO,164,164 2.5 TD,es_AR
ALFA ROMEO,164,164 3.0 V6 12V,es_AR
ALFA ROMEO,164,164 3.0 V6 12V FULL,es_AR
ALFA ROMEO,164,164 3.0 V6 24V,es_AR
ALFA ROMEO,164,164 3.0 V6 24V SUPER,es_AR
ALFA ROMEO,164,164 3.0 V6 L,es_AR
ALFA ROMEO,164,164 3.0 V6 QUADRIFOGLIO,es_AR
ALFA ROMEO,166,166 3.0 V6 24V,es_AR
ALFA ROMEO,166,166 3.0 V6 24V AUT SPORTRONIC,es_AR
ALFA ROMEO,33,33 1.3,es_AR
ALFA ROMEO,33,33 1.4 IMOLA,es_AR
ALFA ROMEO,33,33 1.5,es_AR
ALFA ROMEO,33,33 1.7 8V,es_AR
ALFA ROMEO,33,33 1.7 16V,es_AR
ALFA ROMEO,33,33 1.7 QUADRIFOGLIO,es_AR
ALFA ROMEO,33,33 1.7 SPORT WAGON,es_AR
ALFA ROMEO,33,33 1.7 SPORT WAGON QUADRIFOGLIO,es_AR
ALFA ROMEO,75,75 1.6,es_AR
ALFA ROMEO,75,75 2.0,es_AR
ALFA ROMEO,75,75 2.5 V6,es_AR
ALFA ROMEO,75,75 TD,es_AR
ALFA ROMEO,ALFASUD,ALFASUD 1350,es_AR
ALFA ROMEO,ALFETA,ALFETA 1.3 SUPER,es_AR
ALFA ROMEO,ALFETA,ALFETA 1.5 SPT VE,es_AR
ALFA ROMEO,ALFETA,ALFETA 1.6 GT,es_AR
ALFA ROMEO,ALFETA,ALFETA 2.0,es_AR
ALFA ROMEO,ALFETA,ALFETA 2.0 GTV,es_AR
ALFA ROMEO,ALFETA,ALFETA 2.5 GTV GC,es_AR
ALFA ROMEO,BRERA,BRERA 2.2 JTS SELEESPEED,es_AR
ALFA ROMEO,BRERA,BRERA 2.2 JTS SKY VIEW,es_AR
ALFA ROMEO,BRERA,BRERA 3.2 MD 4X4 AUT.,es_AR
ALFA ROMEO,GIULIA,GIULIA 2.0T 200HP RWD AT,es_AR
ALFA ROMEO,GIULIA,GIULIA 2.0T 280HP AWD AT,es_AR
ALFA ROMEO,GIULIA,GIULIA 2.9T 510HP AT L/20,es_AR
ALFA ROMEO,GIULIA,GIULIA 2.9T 510HP AWD AT,es_AR
ALFA ROMEO,GIULIETTA,GIULIETTA 1.4 DISTINCT 120CV,es_AR
ALFA ROMEO,GIULIETTA,GIULIETTA 1.4 DISTINCT 170CV,es_AR
ALFA ROMEO,GIULIETTA,GIULIETTA 1.4 DISTINCT 170CV AUT,es_AR
ALFA ROMEO,GIULIETTA,GIULIETTA 1.4 DISTINCT 170CV TC,es_AR
ALFA ROMEO,GIULIETTA,GIULIETTA 1.4 DISTINCT 170CV TC AT,es_AR
ALFA ROMEO,GIULIETTA,GIULIETTA 1.4 PROGRESSION 120CV,es_AR
ALFA ROMEO,GIULIETTA,GIULIETTA 1.4 PROGRESSION 170CV,es_AR
ALFA ROMEO,GIULIETTA,GIULIETTA 1.4 SPRINT 120 CV,es_AR
ALFA ROMEO,GIULIETTA,GIULIETTA 1.6,es_AR
ALFA ROMEO,GIULIETTA,GIULIETTA 1.8T QUAD.VERDE 235CV AT,es_AR
ALFA ROMEO,GIULIETTA,GIULIETTA 1.8T VELOCE 240cv AUT,es_AR
ALFA ROMEO,GIULIETTA,GIULIETTA 2000,es_AR
ALFA ROMEO,GT,GT 1.9 JTD DISTINCTIVE,es_AR
ALFA ROMEO,GT,GT 2.0 JTS,es_AR
ALFA ROMEO,GT,GT 2.0 JTS SS,es_AR
ALFA ROMEO,GT,GT 3.2 JTS DISTINCTIVE,es_AR
ALFA ROMEO,GTV,GTV 1600,es_AR
ALFA ROMEO,GTV,GTV 2.5 V6,es_AR
ALFA ROMEO,GTV,GTV 3.0 V6 24V,es_AR
ALFA ROMEO,MITO,MITO 1.4 DDCT DISTINCTIVE TC,es_AR
ALFA ROMEO,MITO,MITO 1.4 DDCT SPORT AUT,es_AR
ALFA ROMEO,MITO,MITO 1.4 DDCT SPORT AUT TC,es_AR
ALFA ROMEO,MITO,MITO 1.4 JUNIOR,es_AR
ALFA ROMEO,MITO,MITO 1.4 PLUS,es_AR
ALFA ROMEO,MITO,MITO 1.4 RAGAZZI,es_AR
ALFA ROMEO,MITO,MITO 1.4 T DISTINCTIVE,es_AR
ALFA ROMEO,MITO,MITO 1.4 T MOVE,es_AR
ALFA ROMEO,MITO,MITO 1.4 T PROGRESSION,es_AR
ALFA ROMEO,MITO,MITO 1.4 T PROGRESSION AUT,es_AR
ALFA ROMEO,MITO,MITO 1.4 T VELOCE,es_AR
ALFA ROMEO,MITO,MITO 1.4 T VELOCE AUT,es_AR
ALFA ROMEO,MITO,MITO 1.4 TBI QUADRIFOGLIO VERDE,es_AR
ALFA ROMEO,MITO,MITO 1.4 TBI SPORT,es_AR
ALFA ROMEO,MITO,MITO 1.4 TBI SPORT TC,es_AR
ALFA ROMEO,RIO,RIO 2300,es_AR
ALFA ROMEO,SPIDER,SPIDER 2.0,es_AR
ALFA ROMEO,SPIDER,SPIDER 2.2 JTS 189CV SELEESPEED,es_AR
ALFA ROMEO,SPIDER,SPIDER 2.2 JTS MEDIUM,es_AR
ALFA ROMEO,SPIDER,SPIDER 3.0 V6,es_AR
ALFA ROMEO,SPIDER,SPIDER 3.0 V6 TCE,es_AR
ALFA ROMEO,SPIDER,SPIDER 3.2 JTS MEDIUM,es_AR
ALFA ROMEO,STELVIO,STELVIO 2.0T 200HP AWD AT,es_AR
ALFA ROMEO,STELVIO,STELVIO 2.0T 280HP AWD AT,es_AR
ALFA ROMEO,STELVIO,STELVIO 2.9T 510HP AWD AT QV,es_AR
ALFA ROMEO,ZAGATO,ZAGATO 2.9,es_AR
ARO,10.1,10.1 T. LONA 4X4 1.4,es_AR
ARO,10.1,10.1 T. LONA 4X4 1.6,es_AR
ARO,10.1,10.1 T. LONA 4X4 1.9 D,es_AR
ARO,10.4,10.4 T. RIGIDO 4X4 1.4,es_AR
ARO,10.4,10.4 T. RIGIDO 4X4 1.6,es_AR
